Country,REGION,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (U-V),CREDIT rating
Colombia,AMERICAS,51.72,26.54,46.78,43.49,42.13,48229000.0,0.639105058845,308200.0,48.0,14.1666666667,44.0740740741,8.96825396825,41.8518518519,6.25,43.75,18.4523809524,73.8095238095,0,0,47.8373015873,0,47.8373015873,B
Costa Rica,AMERICAS,36.35,24.4,33.82,23.97,29.64,4808000.0,0.404284594056,19400.0,38.0,18.1547619048,56.4814814815,9.7619047619,45.5555555556,5.35714285714,37.5,17.8571428571,71.4285714286,0,0,51.130952381,0,51.130952381,BB
Croatia,EUROPE,36.51,25.29,36.88,16.54,28.8,4225000.0,0.404284594056,17100.0,7.0,22.380952381,69.6296296296,15.0396825397,70.1851851852,8.03571428571,56.25,19.0476190476,76.1904761905,0,0,64.503968254,0,64.503968254,BBB
Cuba,AMERICAS,53.6,26.6,34.0,13.99,32.05,11390000.0,0.3322,37800.0,143.0,8.03571428571,25,3.80952380952,17.7777777778,1.78571428571,12.5,9.52380952381,38.0952380952,0,0,23.1547619048,-1,22.1547619048,CC
Cyprus,EUROPE,27.6,23.25,28.95,30.9,27.67,1165000.0,0.404284594056,4700.0,39.0,17.4404761905,54.2592592593,15.9523809524,74.4444444444,2.67857142857,18.75,15.4761904762,61.9047619048,0,0,51.5476190476,-1,50.5476190476,BB
Czech Republic,EUROPE,27.22,19.38,31.55,27.78,26.48,10549000.0,0.404284594056,42600.0,32.0,17.619047619,54.8148148148,10.873015873,50.7407407407,8.03571428571,56.25,16.6666666667,66.6666666667,0,0,53.1944444444,0,53.1944444444,BB
Democratic Republic of the Congo,SUBSAHARAN AFRICA,78.42,56.33,56.72,82.43,68.48,77267000.0,1.130009,873100.0,153.0,2.5,7.77777777778,2.5,11.6666666667,4.46428571429,31.25,6.54761904762,26.1904761905,0,0,16.0119047619,-1,15.0119047619,C
Denmark,EUROPE,15.68,18.53,11.06,23.92,17.3,5660000.0,0.018,1000.0,14.0,19.2261904762,59.8148148148,14.6825396825,68.5185185185,7.14285714286,50,17.2619047619,69.0476190476,0,0,58.3134920635,0,58.3134920635,BB
Djibouti,SUBSAHARAN AFRICA,49.13,43.61,55.25,32.42,45.1,888000.0,0.520335244022,4600.0,96.0,8.03571428571,25,6.19047619048,28.8888888889,5.35714285714,37.5,14.880952381,59.5238095238,0,0,34.4642857143,0,34.4642857143,CCC
Dominican Republic,AMERICAS,47.97,33.84,46.38,24.33,38.13,10528000.0,0.995098784195,104800.0,35.0,15.8333333333,49.2592592593,12.6587301587,59.0740740741,8.92857142857,62.5,16.0714285714,64.2857142857,0,0,53.4920634921,-1,52.4920634921,BB
Ecuador,AMERICAS,43.69,29.23,37.74,29.98,35.16,16144000.0,0.404284594056,65300.0,59.0,11.9642857143,37.2222222222,13.3333333333,62.2222222222,3.57142857143,25,17.8571428571,71.4285714286,0,0,46.7261904762,-1,45.7261904762,B
Egypt,MIDDLE EAST AND NORTH AFRICA,51.25,27.9,62.96,54.85,49.24,91508000.0,0.626048091197,572900.0,79.0,11.4880952381,35.7407407407,6.86507936508,32.037037037,7.14285714286,50,13.0952380952,52.380952381,0,0,38.5912698413,0,38.5912698413,CCC
El Salvador,AMERICAS,49.88,29.58,53.68,8.78,35.48,6127000.0,0.294602886007,18100.0,85.0,10.5952380952,32.962962963,6.19047619048,28.8888888889,7.14285714286,50,14.2857142857,57.1428571429,0,0,38.2142857143,-1,37.2142857143,CCC
